raw_row_number,company_name_raw,stand_no,hall,sector,products,country,website_text,website_url,company_column,details,source_url
45,Thermo Fisher Scientific,,,,,,,,Thermo Fisher Scientific,https://biomiddleeast.com/exhibitors/thermo-fisher-scientific,https://biomiddleeast.com/exhibitor-list-2026
46,TENET HEALTH EDUTECH PRIVATE LIMITED,,,,,,,,TENET HEALTH EDUTECH PRIVATE LIMITED,https://biomiddleeast.com/exhibitors/tenet-health-edutech-private-limited,https://biomiddleeast.com/exhibitor-list-2026
47,ARTHEC S.A.,,,,,,,,ARTHEC S.A.,https://biomiddleeast.com/exhibitors/arthec-sa,https://biomiddleeast.com/exhibitor-list-2026
48,In Virtuo Laboratories SA,,,,,,,,In Virtuo Laboratories SA,https://biomiddleeast.com/exhibitors/virtuo-laboratories-sa,https://biomiddleeast.com/exhibitor-list-2026
49,Fremed Pharmaceutical JSC,,,,,,,,Fremed Pharmaceutical JSC,https://biomiddleeast.com/exhibitors/fremed-pharmaceutical-jsc,https://biomiddleeast.com/exhibitor-list-2026
50,Biophore India Pharmaceuticals PVT. LTD,,,,,,,,Biophore India Pharmaceuticals PVT. LTD,https://biomiddleeast.com/exhibitors/biophore-india-pharmaceuticals-pvt-ltd,https://biomiddleeast.com/exhibitor-list-2026
51,Al Massat Life Sciences DMCC,,,,,,,,Al Massat Life Sciences DMCC,https://biomiddleeast.com/exhibitors/al-massat-life-sciences-dmcc,https://biomiddleeast.com/exhibitor-list-2026
52,EIPICO,,,,,,,,EIPICO,https://biomiddleeast.com/exhibitors/eipico,https://biomiddleeast.com/exhibitor-list-2026
53,SEDICO Pharmaceuticals Co.,,,,,,,,SEDICO Pharmaceuticals Co.,https://biomiddleeast.com/exhibitors/sedico-pharmaceuticals-co,https://biomiddleeast.com/exhibitor-list-2026
54,October Pharma,,,,,,,,October Pharma,https://biomiddleeast.com/exhibitors/october-pharma,https://biomiddleeast.com/exhibitor-list-2026
55,Acdima international trading,,,,,,,,Acdima international trading,https://biomiddleeast.com/exhibitors/acdima-international-trading,https://biomiddleeast.com/exhibitor-list-2026
56,SAUDI MAIS COMPANY FOR MEDICAL PRODUCTS,,,,,,,,SAUDI MAIS COMPANY FOR MEDICAL PRODUCTS,https://biomiddleeast.com/exhibitors/saudi-mais-company-medical-products,https://biomiddleeast.com/exhibitor-list-2026
57,Advanced Pharmaceutical Products,,,,,,,,Advanced Pharmaceutical Products,https://biomiddleeast.com/exhibitors/advanced-pharmaceutical-products,https://biomiddleeast.com/exhibitor-list-2026
58,"Shijiazhuang Xinfuda Medical Packaging Co., Ltd.",,,,,,,,"Shijiazhuang Xinfuda Medical Packaging Co., Ltd.",https://biomiddleeast.com/exhibitors/shijiazhuang-xinfuda-medical-packaging-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
59,"Fujian Comhony Biotechnology Co.,Ltd",,,,,,,,"Fujian Comhony Biotechnology Co.,Ltd",https://biomiddleeast.com/exhibitors/fujian-comhony-biotechnology-coltd,https://biomiddleeast.com/exhibitor-list-2026
